Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Khulna
5
views",,Toyota,Reconditioned,"1,800 cc",Hybrid,"59,365 km",Toyota Noah G 7 SEATER HYBRID 2020,Noah,28/07/2025 11:01,"Tk 3,420,000",,Company,Khulna Sadar,Automatic,G 7 SEATER HYBRID,https://bikroy.com/en/ad/toyota-noah-g-7-seater-hybrid-2020-for-sale-khulna,5,2020
"Dhaka
512
views",,Lexus,Reconditioned,"2,000 cc",Octane,"22,850 km",Lexus RX 300 Version L 2019,RX,28/07/2025 11:01,"Tk 10,500,000",,Company,Basundhara,Automatic,300 Version L,https://bikroy.com/en/ad/lexus-rx-300-version-l-2019-for-sale-dhaka,512,2019
"Dhaka
299
views",MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","91,380 km",Toyota Esquire Gi premium 2020,Esquire,28/07/2025 11:01,"Tk 3,880,000",,Company,Basundhara,Automatic,Gi premium,https://bikroy.com/en/ad/toyota-esquire-gi-premium-2020-for-sale-dhaka-200,299,2020
"Dhaka
199
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"7,900 km",Toyota Esquire Gi non hybird 2021,Esquire,28/07/2025 11:01,"Tk 4,400,000",,Company,Basundhara,Automatic,Gi non hybird,https://bikroy.com/en/ad/toyota-esquire-gi-non-hybird-2021-for-sale-dhaka,199,2021
"Dhaka
344
views",MPV,Toyota,Reconditioned,"2,500 cc","Hybrid, Octane","64,580 km",Toyota Harrier Z LEATHER 2021,Harrier,28/07/2025 11:01,"Tk 6,950,000",,Company,Basundhara,Automatic,Z LEATHER,https://bikroy.com/en/ad/toyota-harrier-z-leather-2021-for-sale-dhaka-56,344,2021
"Dhaka
303
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","4,550 km",Toyota Prius A Turing 2021,Prius,28/07/2025 11:01,"Tk 3,850,000",,Company,Basundhara,Automatic,A Turing,https://bikroy.com/en/ad/toyota-prius-a-turing-2021-for-sale-dhaka,303,2021
Dhaka,MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"98,000 km",Toyota Esquire GI HYBRID 2020,Esquire,28/07/2025 11:01,"Tk 3,700,000",,Company,Mirpur,Automatic,GI HYBRID,https://bikroy.com/en/ad/toyota-esquire-gi-hybrid-2020-for-sale-dhaka-40,,2020
"Dhaka
453
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"51,000 km",Toyota Noah G PKG SILVER 2020,Noah,28/07/2025 11:01,"Tk 2,990,000",,Company,Baridhara,Automatic,G PKG SILVER,https://bikroy.com/en/ad/toyota-noah-g-pkg-silver-2020-for-sale-dhaka,453,2020
"Dhaka
56
views",SUV / 4x4,Toyota,Used,"1,800 cc","Hybrid, Octane","43,735 km",Toyota Corolla Cross Z Leather 2021,Corolla Cross,28/07/2025 11:01,"Tk 4,390,000",2022,Company,Banani,Automatic,Z Leather,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-2021-for-sale-dhaka-142,56,2021
"Dhaka
197
views",MPV,Toyota,Reconditioned,"2,500 cc",Hybrid,"45,000 km",Toyota Alphard Excutive lounge 2020,Alphard,28/07/2025 11:01,"Tk 9,500,000",,Company,Gulshan,Automatic,Excutive lounge,https://bikroy.com/en/ad/toyota-alphard-excutive-lounge-2020-for-sale-dhaka,197,2020
"Khulna
17
views",Hatchback,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","80,456 km",Toyota Corolla TOURING WXB BLACK 2020,Corolla,28/07/2025 11:01,"Tk 2,850,000",,Company,Khulna Sadar,Automatic,TOURING WXB BLACK,https://bikroy.com/en/ad/toyota-corolla-touring-wxb-black-2020-for-sale-khulna-12,17,2020
"Dhaka
124
views",SUV / 4x4,Mitsubishi,Used,"2,500 cc",Diesel,"62,541 km",Mitsubishi l200 Carryboy 4WD 2017,l200,28/07/2025 11:01,"Tk 3,680,000",2017,Company,Banani,Manual,Carryboy 4WD,https://bikroy.com/en/ad/mitsubishi-l200-carryboy-4wd-2017-for-sale-dhaka-1,124,2017
"Dhaka
93
views",SUV / 4x4,Toyota,Used,"1,800 cc","Hybrid, Octane","36,589 km",Toyota C-HR GLED 2017,C-HR,28/07/2025 11:01,"Tk 2,730,000",2020,Company,Banani,Automatic,GLED,https://bikroy.com/en/ad/toyota-c-hr-gled-2017-for-sale-dhaka-46,93,2017
"Dhaka
150
views",,Toyota,Reconditioned,"1,980 cc",Octane,"59,794 km",Toyota RAV4 G-Z PKG- 2019,RAV4,28/07/2025 11:01,"Tk 6,800,000",,Company,Baridhara,Automatic,G-Z PKG-,https://bikroy.com/en/ad/toyota-rav4-g-z-pkg-2019-for-sale-dhaka-1,150,2019
"Dhaka
72
views",SUV / 4x4,Mercedes-Benz,Used,"3,000 cc",Octane,"25,213 km",Mercedes-Benz GLS-Class GLS 450 4Matic 2021,GLS-Class,28/07/2025 11:01,"Tk 28,500,000",2021,Company,Banani,Automatic,GLS 450 4Matic,https://bikroy.com/en/ad/mercedes-benz-gls-class-gls-450-4matic-2021-for-sale-dhaka-26,72,2021
Dhaka,Estate,Toyota,Used,"1,331 cc",Octane,"65,856 km",Toyota + পেংকারগো 2004,Other Model,28/07/2025 11:01,"Tk 850,000",2007,Company,Uttara,Automatic,+ পেংকারগো,https://bikroy.com/en/ad/toyota-penkaargo-2004-for-sale-dhaka-1,,2004
"Dhaka
1737
views",MPV,Toyota,Reconditioned,"2,500 cc","Hybrid, Octane","24,469 km",Toyota Alphard Executive Lounge 2021,Alphard,28/07/2025 11:01,"Tk 12,500,000",,Company,Baridhara,Automatic,Executive Lounge,https://bikroy.com/en/ad/toyota-alphard-executive-lounge-2021-for-sale-dhaka-21,1737,2021
"Dhaka
50
views",Hatchback,Toyota,Used,"1,500 cc","Hybrid, Octane","55,000 km",Toyota Fielder X LIMITED HYBRID 2017,Fielder,28/07/2025 11:01,"Tk 2,010,000",2022,Company,Khilgaon,Automatic,X LIMITED HYBRID,https://bikroy.com/en/ad/toyota-fielder-x-limited-hybrid-2017-for-sale-dhaka,50,2017
"Dhaka
95
views",Coupé/Sports,Toyota,Reconditioned,"2,500 cc","Petrol, Hybrid, Octane","1,110 km",Toyota Crown Z LEATHER 2023,Crown,28/07/2025 11:01,"Tk 16,000,000",,Company,Baridhara,Automatic,Z LEATHER,https://bikroy.com/en/ad/toyota-crown-z-leather-2023-for-sale-dhaka-3,95,2023
Dhaka,SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","24,329 km",Toyota Corolla Cross Z LEATHER PEARLCOLOR 2023,Corolla Cross,28/07/2025 11:01,"Tk 5,120,000",,Company,Baridhara,Automatic,Z LEATHER PEARLCOLOR,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-pearlcolor-2023-for-sale-dhaka-2,,2023
"Dhaka
484
views",Hatchback,Honda,Reconditioned,"1,500 cc",Octane,"34,780 km",Honda Vezel X SENSING BLACK COLR 2019,Vezel,28/07/2025 11:01,"Tk 3,300,000",,Company,Baridhara,Automatic,X SENSING BLACK COLR,https://bikroy.com/en/ad/honda-vezel-x-sensing-black-colr-2019-for-sale-dhaka,484,2019
"Dhaka
319
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc",Octane,"34,381 km",Toyota Harrier Z PKG BLACK OCTANE 2020,Harrier,28/07/2025 11:01,"Tk 8,270,000",,Company,Baridhara,Automatic,Z PKG BLACK OCTANE,https://bikroy.com/en/ad/toyota-harrier-z-pkg-black-octane-2020-for-sale-dhaka,319,2020
"Dhaka
548
views",SUV / 4x4,Toyota,Reconditioned,"2,500 cc",Hybrid,"72,805 km",Toyota Harrier Z PKG BLACK HYBRID 2020,Harrier,28/07/2025 11:01,"Tk 6,950,000",,Company,Baridhara,Automatic,Z PKG BLACK HYBRID,https://bikroy.com/en/ad/toyota-harrier-z-pkg-black-hybrid-2020-for-sale-dhaka,548,2020
Dhaka,SUV / 4x4,Toyota,Reconditioned,"2,000 cc",Octane,"21,120 km",Toyota Harrier Z PKG BLACK OCTANE 2020,Harrier,28/07/2025 11:01,"Tk 8,020,000",,Company,Baridhara,Automatic,Z PKG BLACK OCTANE,https://bikroy.com/en/ad/toyota-harrier-z-pkg-black-octane-2020-for-sale-dhaka-1,,2020
"Dhaka
2459
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc",Octane,"48,130 km",Toyota RAV4 ADVENTURE NONHB GREY 2020,RAV4,28/07/2025 11:01,"Tk 6,940,000",,Company,Baridhara,Automatic,ADVENTURE NONHB GREY,https://bikroy.com/en/ad/toyota-rav4-adventure-nonhb-grey-2020-for-sale-dhaka-2,2459,2020
