Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Dhaka
4196
views",SUV / 4x4,Honda,Reconditioned,"1,500 cc","Petrol, Octane","37,458 km",Honda CR-V Ex Master piece 2021,CR-V,23/07/2025 19:36,"Tk 5,900,000",,Company,Baridhara,Automatic,Ex Master piece,https://bikroy.com/en/ad/honda-cr-v-ex-master-piece-2021-for-sale-dhaka-33,4196,2021
"Dhaka
61
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","85,694 km",Toyota Fielder hybrid ex 2020,Fielder,23/07/2025 19:33,"Tk 2,150,000",,Company,Rampura,Automatic,hybrid ex,https://bikroy.com/en/ad/toyota-fielder-hybrid-ex-2020-for-sale-dhaka-22,61,2020
"Dhaka
709
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc",Hybrid,"28,000 km",Toyota Corolla Cross Z LEATHER HYBRID PKG 2022,Corolla Cross,23/07/2025 19:33,"Tk 4,890,000",,Company,Baridhara,Automatic,Z LEATHER HYBRID PKG,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-hybrid-pkg-2022-for-sale-dhaka,709,2022
"Khulna
78
views",MPV,Toyota,Reconditioned,"2,000 cc",Petrol,"123,548 km",Toyota Hiace DX 2020,Hiace,23/07/2025 19:33,"Tk 3,250,000",,Company,Khulna Sadar,Automatic,DX,https://bikroy.com/en/ad/toyota-hiace-dx-2020-for-sale-khulna-1,78,2020
"Khulna
50
views",Hatchback,Toyota,Reconditioned,"1,500 cc",Hybrid,"68,521 km",Toyota Fielder X HYBRID 2019,Fielder,23/07/2025 19:33,"Tk 2,250,000",,Company,Khulna Sadar,Automatic,X HYBRID,https://bikroy.com/en/ad/toyota-fielder-x-hybrid-2019-for-sale-khulna-87,50,2019
"Dhaka
254
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane, Other fuel type","67,000 km",Toyota Probox NON HYBRID 2020,Probox,23/07/2025 19:33,"Tk 1,800,000",,Company,Rampura,Automatic,NON HYBRID,https://bikroy.com/en/ad/toyota-probox-non-hybrid-2020-for-sale-dhaka,254,2020
"Dhaka
91
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","86,541 km",Toyota Axio hybrid ex 2020,Axio,23/07/2025 19:33,"Tk 2,150,000",,Company,Rampura,Automatic,hybrid ex,https://bikroy.com/en/ad/toyota-axio-hybrid-ex-2020-for-sale-dhaka-45,91,2020
"Khulna
71
views",Saloon,Toyota,Reconditioned,"1,800 cc",Hybrid,"55,000 km",Toyota Prius SUNROOF S LED 2019,Prius,23/07/2025 19:33,"Tk 3,550,000",,Company,Khulna Sadar,Automatic,SUNROOF S LED,https://bikroy.com/en/ad/toyota-prius-sunroof-s-led-2019-for-sale-khulna,71,2019
"Dhaka
173
views",SUV / 4x4,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","51,400 km",Toyota Yaris Cross Z LEATHER REDWINE 2021,Yaris Cross,23/07/2025 19:33,"Tk 3,650,000",,Company,Baridhara,Automatic,Z LEATHER REDWINE,https://bikroy.com/en/ad/toyota-yaris-cross-z-leather-redwine-2021-for-sale-dhaka,173,2021
"Dhaka
272
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","75,841 km",Toyota Yaris hybrid x 2020,Yaris,23/07/2025 19:33,"Tk 1,800,000",,Company,Rampura,Automatic,hybrid x,https://bikroy.com/en/ad/toyota-yaris-hybrid-x-2020-for-sale-dhaka-1,272,2020
"Khulna
224
views",,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","48,000 km",Toyota Axio G HYBRID EID OFFER 2018,Axio,23/07/2025 19:33,"Tk 2,160,000",,Company,Khulna Sadar,Automatic,G HYBRID EID OFFER,https://bikroy.com/en/ad/toyota-axio-g-hybrid-eid-offer-2018-for-sale-khulna,224,2018
"Dhaka
22
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"78,000 km",Toyota Noah G Hybrid Pearl 2020,Noah,23/07/2025 19:33,"Tk 3,400,000",,Company,Mirpur,Automatic,G Hybrid Pearl,https://bikroy.com/en/ad/toyota-noah-g-hybrid-pearl-2020-for-sale-dhaka-6,22,2020
Dhaka,SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","36,450 km",Toyota Corolla Cross Z 4.5 BLACK 2022,Corolla Cross,23/07/2025 19:33,"Tk 4,550,000",,Company,Baridhara,Automatic,Z 4.5 BLACK,https://bikroy.com/en/ad/toyota-corolla-cross-z-45-black-2022-for-sale-dhaka-8,,2022
Dhaka,MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","18,000 km",Toyota Noah HYBRID SG PACKAGE 2022,Noah,23/07/2025 19:33,"Tk 4,850,000",,Company,Basundhara,Automatic,HYBRID SG PACKAGE,https://bikroy.com/en/ad/toyota-noah-hybrid-sg-package-2022-for-sale-dhaka,,2022
"Dhaka
77
views",MPV,Toyota,Reconditioned,"2,000 cc",Octane,"75,000 km",Toyota Noah X Non Hybrid 2020,Noah,23/07/2025 19:33,"Tk 3,780,000",,Company,Mirpur,Automatic,X Non Hybrid,https://bikroy.com/en/ad/toyota-noah-x-non-hybrid-2020-for-sale-dhaka-13,77,2020
"Dhaka
478
views",Saloon,Toyota,Reconditioned,"2,000 cc",Octane,"30,000 km",Toyota Supra SZ PKG RED / 2021,Supra,23/07/2025 19:33,"Tk 13,000,000",,Company,Ramna,Automatic,SZ PKG RED /,https://bikroy.com/en/ad/toyota-supra-sz-pkg-red-2021-for-sale-dhaka,478,2021
"Dhaka
64
views",Hatchback,Toyota,Reconditioned,"1,500 cc",Hybrid,"72,659 km",Toyota Fielder Ex Package Hybrid 2020,Fielder,23/07/2025 19:33,"Tk 2,520,000",,Company,Mirpur,Automatic,Ex Package Hybrid,https://bikroy.com/en/ad/toyota-fielder-ex-package-hybrid-2020-for-sale-dhaka-5,64,2020
"Dhaka
24
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","50,452 km",Toyota Prius S 4.5grd SILVER 2020,Prius,23/07/2025 19:33,"Tk 3,120,000",,Company,Gulshan,Automatic,S 4.5grd SILVER,https://bikroy.com/en/ad/toyota-prius-s-45grd-silver-2020-for-sale-dhaka,24,2020
"Khulna
20
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","51,650 km",Toyota Prius S Safety Sense Model 2020,Prius,23/07/2025 19:33,"Tk 3,220,000",,Company,Khulna Sadar,Automatic,S Safety Sense Model,https://bikroy.com/en/ad/toyota-prius-s-safety-sense-model-2020-for-sale-khulna-1,20,2020
"Dhaka
315
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","90,000 km",Toyota Esquire Gi Hybrid Mica Blue 2020,Esquire,23/07/2025 19:33,"Tk 3,840,000",,Company,Baridhara,Automatic,Gi Hybrid Mica Blue,https://bikroy.com/en/ad/toyota-esquire-gi-hybrid-mica-blue-2020-for-sale-dhaka-4,315,2020
"Khulna
5
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","80,885 km",Toyota Noah Hybrid (G.Point=4.5) 2021,Noah,23/07/2025 19:33,"Tk 3,420,000",,Company,Khulna Sadar,Automatic,Hybrid (G.Point=4.5),https://bikroy.com/en/ad/toyota-noah-hybrid-gpoint45-2021-for-sale-khulna,5,2021
"Khulna
40
views",,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","45,471 km",Toyota Yaris Cross Hybrid (Point-4.0) - 2020,Yaris Cross,23/07/2025 19:33,"Tk 3,540,000",,Company,Khulna Sadar,Automatic,Hybrid (Point-4.0) -,https://bikroy.com/en/ad/toyota-yaris-cross-hybrid-point-40-2020-for-sale-khulna,40,2020
"Khulna
25
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Octane","53,277 km",Toyota Axio (EX) PKG NONHY GP-4 2020,Axio,23/07/2025 19:33,"Tk 2,850,000",,Company,Khulna Sadar,Automatic,(EX) PKG NONHY GP-4,https://bikroy.com/en/ad/toyota-axio-ex-pkg-nonhy-gp-4-2020-for-sale-khulna-4,25,2020
"Dhaka
2188
views",Saloon,Mercedes-Benz,Used,"2,000 cc","Petrol, Octane","8,000 km",Mercedes-Benz E180 E Class Non Hybrid 2022,E180,23/07/2025 19:33,"Tk 13,500,000",2023,Company,Gulshan,Automatic,E Class Non Hybrid,https://bikroy.com/en/ad/mercedes-benz-e180-e-class-non-hybrid-2022-for-sale-dhaka,2188,2022
Dhaka,Coupé/Sports,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","67,458 km",Toyota C-HR G-LED 2019,C-HR,23/07/2025 19:33,"Tk 3,199,000",,Company,Baridhara,Automatic,G-LED,https://bikroy.com/en/ad/toyota-c-hr-g-led-2019-for-sale-dhaka-243,,2019
Dhaka,Hatchback,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","61,507 km",Toyota Corolla Touring READY 2020,Corolla,23/07/2025 19:33,"Tk 3,100,000",,Company,Baridhara,Automatic,Touring READY,https://bikroy.com/en/ad/toyota-corolla-touring-ready-2020-for-sale-dhaka,,2020
"Dhaka
521
views",Saloon,Toyota,Reconditioned,"2,400 cc","Petrol, Hybrid, Octane","17,940 km",Toyota Crown Crossover-Rs-advance 2022,Crown,23/07/2025 19:33,"Tk 12,700,000",,Company,Baridhara,Automatic,Crossover-Rs-advance,https://bikroy.com/en/ad/toyota-crown-crossover-rs-advance-2022-for-sale-dhaka-25,521,2022
"Dhaka
37
views",SUV / 4x4,Nissan,Used,"2,000 cc",Octane,"69,354 km",Nissan X-Trail 2011,X-Trail,23/07/2025 19:31,"Tk 1,720,000",2017,Company,Mirpur,Automatic,,https://bikroy.com/en/ad/nissan-x-trail-2011-for-sale-dhaka-849,37,2011
"Dhaka
968
views",Saloon,Toyota,Reconditioned,"1,500 cc",Octane,"17,000 km",Toyota Axio EX PACKAGE 2020,Axio,23/07/2025 19:31,"Tk 3,050,000",,Company,Baridhara,Automatic,EX PACKAGE,https://bikroy.com/en/ad/toyota-axio-ex-package-2020-for-sale-dhaka-27,968,2020
"Chattogram
217
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc",Hybrid,"55,000 km",Toyota Corolla Cross Z PEARL 4.5/55000 KM 2021,Corolla Cross,23/07/2025 19:31,"Tk 4,520,000",,Company,Agrabad,Automatic,Z PEARL 4.5/55000 KM,https://bikroy.com/en/ad/toyota-corolla-cross-z-pearl-45-55000-km-2021-for-sale-chattogram,217,2021
"Khulna
76
views",Hatchback,Toyota,Reconditioned,"1,500 cc",Hybrid,"56,225 km",Toyota Yaris Cross AP-4.5 (EID OFFER) 2021,Yaris Cross,23/07/2025 19:31,"Tk 3,750,000",,Company,Khulna Sadar,Automatic,AP-4.5 (EID OFFER),https://bikroy.com/en/ad/toyota-yaris-cross-ap-45-eid-offer-2021-for-sale-khulna,76,2021
"Dhaka
13
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"88,115 km",Toyota Esquire GI Premium 2020,Esquire,23/07/2025 19:31,"Tk 3,850,000",,Company,Mirpur,Automatic,GI Premium,https://bikroy.com/en/ad/toyota-esquire-gi-premium-2020-for-sale-dhaka-215,13,2020
"Dhaka
22
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"84,499 km",Toyota Noah Si WXB 3 2021,Noah,23/07/2025 19:31,"Tk 3,880,000",,Company,Mirpur,Automatic,Si WXB 3,https://bikroy.com/en/ad/toyota-noah-si-wxb-3-2021-for-sale-dhaka,22,2021
"Dhaka
341
views",MPV,Toyota,Used,"1,800 cc","Hybrid, Octane","65,137 km",Toyota Esquire Gi 2017,Esquire,23/07/2025 19:31,"Tk 2,495,000",2022,Company,Tejgaon,Automatic,Gi,https://bikroy.com/en/ad/toyota-esquire-gi-2017-for-sale-dhaka-200,341,2017
"Dhaka
106
views",Hatchback,Suzuki,Reconditioned,660 cc,"Petrol, Octane","74,555 km",Suzuki FREEZER 2018,Other Model,23/07/2025 19:31,"Tk 1,200,000",,Company,Mirpur,Automatic,FREEZER,https://bikroy.com/en/ad/suzuki-freezer-2018-for-sale-dhaka-1,106,2018
"Dhaka
25
views",MPV,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","57,000 km",Toyota Hiace GL DUAL A/C 2020,Hiace,23/07/2025 19:31,"Tk 3,300,000",,Company,Mirpur,Automatic,GL DUAL A/C,https://bikroy.com/en/ad/toyota-hiace-gl-dual-a-c-2020-for-sale-dhaka-33,25,2020
"Khulna
68
views",,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","59,085 km",Toyota Axio Ex Push Start 2020,Axio,23/07/2025 19:31,"Tk 2,350,000",,Company,Khulna Sadar,Automatic,Ex Push Start,https://bikroy.com/en/ad/toyota-axio-ex-push-start-2020-for-sale-khulna-31,68,2020
"Khulna
57
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","60,690 km",Toyota Esquire Gi (Kit+Brown Inter) 2020,Esquire,23/07/2025 19:31,"Tk 3,850,000",,Company,Khulna Sadar,Automatic,Gi (Kit+Brown Inter),https://bikroy.com/en/ad/toyota-esquire-gi-kitbrown-inter-2020-for-sale-khulna,57,2020
"Khulna
69
views",MPV,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","59,928 km",Toyota Hiace S.GL DARK PRIME 2DP 2020,Hiace,23/07/2025 19:31,"Tk 4,550,000",,Company,Khulna Sadar,Automatic,S.GL DARK PRIME 2DP,https://bikroy.com/en/ad/toyota-hiace-sgl-dark-prime-2dp-2020-for-sale-khulna,69,2020
"Khulna
22
views",MPV,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","42,150 km",Toyota Esquire Gi Premium Non-HV 2020,Esquire,23/07/2025 19:31,"Tk 4,650,000",,Company,Khulna Sadar,Automatic,Gi Premium Non-HV,https://bikroy.com/en/ad/toyota-esquire-gi-premium-non-hv-2020-for-sale-khulna-3,22,2020
"Khulna
103
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","81,875 km",Toyota Corolla G-X Hybrid Model- 2019,Corolla,23/07/2025 19:31,"Tk 2,850,000",,Company,Khulna Sadar,Automatic,G-X Hybrid Model-,https://bikroy.com/en/ad/toyota-corolla-g-x-hybrid-model-2019-for-sale-khulna,103,2019
"Dhaka
109
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"93,000 km",Toyota Noah X PACKAGE (HYBRID) 2020,Noah,23/07/2025 19:31,"Tk 2,990,000",,Company,Paltan,Automatic,X PACKAGE (HYBRID),https://bikroy.com/en/ad/toyota-noah-x-package-hybrid-2020-for-sale-dhaka-3,109,2020
"Dhaka
21
views",MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","90,000 km",Toyota Voxy zs kiramiki 2020,Voxy,23/07/2025 19:31,"Tk 3,250,000",,Company,Gulshan,Automatic,zs kiramiki,https://bikroy.com/en/ad/toyota-voxy-zs-kiramiki-2020-for-sale-dhaka-5,21,2020
"Dhaka
1008
views",Hatchback,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","70,000 km",Toyota Corolla Sports 2020,Other Model,23/07/2025 19:31,"Tk 2,499,999",,Company,Gulshan,Automatic,Corolla Sports,https://bikroy.com/en/ad/toyota-corolla-sports-2020-for-sale-dhaka-1,1008,2020
"Dhaka
944
views",SUV / 4x4,Toyota,New,"1,500 cc","Petrol, Hybrid, Octane","51,000 km",Toyota Yaris Cross Z Leather Wine 2 Ton 2021,Yaris Cross,23/07/2025 19:31,"Tk 3,650,000",,Company,Baridhara,Automatic,Z Leather Wine 2 Ton,https://bikroy.com/en/ad/toyota-yaris-cross-z-leather-wine-2-ton-2021-for-sale-dhaka-1,944,2021
"Dhaka
46
views",Hatchback,Toyota,Reconditioned,"1,500 cc",Hybrid,"71,000 km",Toyota Fielder EX 2020,Fielder,23/07/2025 19:31,"Tk 2,250,000",,Company,Gulshan,Automatic,EX,https://bikroy.com/en/ad/toyota-fielder-ex-2020-for-sale-dhaka-92,46,2020
"Khulna
323
views",Saloon,Mazda,Reconditioned,"1,500 cc","Petrol, Octane","80,375 km",Mazda MX-3 NON HYBRID S PACKAGE 2019,MX-3,23/07/2025 19:31,"Tk 3,700,000",,Company,Khulna Sadar,Automatic,NON HYBRID S PACKAGE,https://bikroy.com/en/ad/mazda-mx-3-non-hybrid-s-package-2019-for-sale-khulna,323,2019
"Dhaka
536
views",Coupé/Sports,Toyota,Reconditioned,"2,400 cc","Petrol, Hybrid, Octane","12,510 km",Toyota Crown Crossover-Rs-advance 2022,Crown,23/07/2025 19:31,"Tk 12,700,000",,Company,Baridhara,Automatic,Crossover-Rs-advance,https://bikroy.com/en/ad/toyota-crown-crossover-rs-advance-2022-for-sale-dhaka-26,536,2022
"Dhaka
2278
views",Hatchback,Toyota,Used,"1,300 cc",Octane,"45,000 km",Toyota Vitz PUSH START Octane 2010,Vitz,23/07/2025 19:31,"Tk 1,080,000",2016,Company,Uttara,Automatic,PUSH START Octane,https://bikroy.com/en/ad/toyota-vitz-push-start-octane-2010-for-sale-dhaka,2278,2010
"Dhaka
546
views",Saloon,Mazda,Used,"1,500 cc",Octane,"56,950 km",Mazda Axela G - Edition 2011,Axela,23/07/2025 19:31,"Tk 1,550,000",2016,Company,Tejgaon,Automatic,G - Edition,https://bikroy.com/en/ad/mazda-axela-g-edition-2011-for-sale-dhaka-6,546,2011
"Khulna
12
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","59,000 km",Toyota Axio EX HYBRID WHITE 2020,Axio,23/07/2025 19:29,"Tk 2,800,000",,Company,Khulna Sadar,Automatic,EX HYBRID WHITE,https://bikroy.com/en/ad/toyota-axio-ex-hybrid-white-2020-for-sale-khulna-17,12,2020
"Dhaka
262
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","68,421 km",Toyota Vitz hybrid F 2020,Vitz,23/07/2025 19:29,"Tk 1,800,000",,Company,Rampura,Automatic,hybrid F,https://bikroy.com/en/ad/toyota-vitz-hybrid-f-2020-for-sale-dhaka,262,2020
"Khulna
996
views",SUV / 4x4,Lexus,Reconditioned,"2,500 cc","Petrol, Hybrid, Octane","121,009 km",Lexus NX 300h 2018,NX,23/07/2025 19:29,"Tk 7,100,000",,Company,Khulna Sadar,Automatic,300h,https://bikroy.com/en/ad/lexus-nx-300h-2018-for-sale-khulna,996,2018
"Dhaka
40
views",SUV / 4x4,Toyota,Reconditioned,"1,500 cc","Hybrid, Octane","25,340 km",Toyota Yaris Cross Z-4grd redwine 2021,Yaris Cross,23/07/2025 19:29,"Tk 3,730,000",,Company,Gulshan,Automatic,Z-4grd redwine,https://bikroy.com/en/ad/toyota-yaris-cross-z-4grd-redwine-2021-for-sale-dhaka-4,40,2021
"Dhaka
86
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane",10 km,Toyota Corolla Cross Z PKG MASSIVE GRAY 2024,Corolla Cross,23/07/2025 19:29,"Tk 5,550,000",,Company,Baridhara,Automatic,Z PKG MASSIVE GRAY,https://bikroy.com/en/ad/toyota-corolla-cross-z-pkg-massive-gray-2024-for-sale-dhaka-7,86,2024
"Dhaka
216
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","76,000 km",Toyota Noah X HYBRID PEARL 2020,Noah,23/07/2025 19:29,"Tk 3,400,000",,Company,Baridhara,Automatic,X HYBRID PEARL,https://bikroy.com/en/ad/toyota-noah-x-hybrid-pearl-2020-for-sale-dhaka-2,216,2020
"Dhaka
746
views",MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","21,007 km","Toyota Noah S-Z,gray 5grd 2022",Noah,23/07/2025 19:29,"Tk 5,290,000",,Company,Gulshan,Automatic,"S-Z,gray 5grd",https://bikroy.com/en/ad/toyota-noah-s-zgray-5grd-2022-for-sale-dhaka-1,746,2022
"Khulna
12
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","53,328 km",Toyota Noah G Hybrid (7 Seater)- 2020,Noah,23/07/2025 19:29,"Tk 3,300,000",,Company,Khulna Sadar,Automatic,G Hybrid (7 Seater)-,https://bikroy.com/en/ad/toyota-noah-g-hybrid-7-seater-2020-for-sale-khulna-1,12,2020
"Khulna
194
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","69,686 km",Toyota Yaris (X)PKG HYBRID SENSOR 2020,Yaris,23/07/2025 19:29,"Tk 2,160,000",,Company,Khulna Sadar,Automatic,(X)PKG HYBRID SENSOR,https://bikroy.com/en/ad/toyota-yaris-xpkg-hybrid-sensor-2020-for-sale-khulna,194,2020
"Khulna
60
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","61,986 km",Toyota Noah Hybrid (X) Model- 2020,Noah,23/07/2025 19:29,"Tk 3,050,000",,Company,Khulna Sadar,Automatic,Hybrid (X) Model-,https://bikroy.com/en/ad/toyota-noah-hybrid-x-model-2020-for-sale-khulna,60,2020
"Khulna
63
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","76,600 km",Toyota C-HR G LED HYBRID GP-4.5 2020,C-HR,23/07/2025 19:29,"Tk 3,770,000",,Company,Khulna Sadar,Automatic,G LED HYBRID GP-4.5,https://bikroy.com/en/ad/toyota-c-hr-g-led-hybrid-gp-45-2020-for-sale-khulna,63,2020
"Khulna
41
views",Saloon,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","55,080 km",Toyota Corolla WxB HY GP-4.00 2020,Corolla,23/07/2025 19:29,"Tk 3,360,000",,Company,Khulna Sadar,Automatic,WxB HY GP-4.00,https://bikroy.com/en/ad/toyota-corolla-wxb-hy-gp-400-2020-for-sale-khulna,41,2020
"Khulna
79
views",Estate,Toyota,Reconditioned,"1,500 cc","Petrol, Octane","79,120 km",Toyota Fielder Ex Grade:4 Super👍 2021,Fielder,23/07/2025 19:29,"Tk 2,999,999",,Company,Khulna Sadar,Automatic,Ex Grade:4 Super👍,https://bikroy.com/en/ad/toyota-fielder-ex-grade4-super-2021-for-sale-khulna,79,2021
"Khulna
29
views",,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","91,061 km",Toyota Hiace Super GL (G.P-4.5) - 2021,Hiace,23/07/2025 19:29,"Tk 4,450,000",,Company,Khulna Sadar,Automatic,Super GL (G.P-4.5) -,https://bikroy.com/en/ad/toyota-hiace-super-gl-gp-45-2021-for-sale-khulna-5,29,2021
"Khulna
55
views",,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","18,092 km",Toyota Hiace S.GL (2DP+360 Camra) 2021,Hiace,23/07/2025 19:29,"Tk 4,700,000",,Company,Khulna Sadar,Automatic,S.GL (2DP+360 Camra),https://bikroy.com/en/ad/toyota-hiace-sgl-2dp360-camra-2021-for-sale-khulna,55,2021
"Khulna
46
views",Saloon,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","58,120 km",Toyota Corolla GX Only 58k km 2020,Corolla,23/07/2025 19:29,"Tk 2,850,000",,Company,Khulna Sadar,Automatic,GX Only 58k km,https://bikroy.com/en/ad/toyota-corolla-gx-only-58k-km-2020-for-sale-khulna,46,2020
"Chattogram
775
views",MPV,Toyota,Reconditioned,"2,000 cc",Octane,"6,000 km",Toyota Hiace SUPER GL PUSH 2023,Hiace,23/07/2025 19:29,"Tk 4,650,000",,Company,Halishahar,Automatic,SUPER GL PUSH,https://bikroy.com/en/ad/toyota-hiace-super-gl-push-2023-for-sale-chattogram,775,2023
"Dhaka
181
views",SUV / 4x4,Honda,Used,"1,500 cc",Octane,"54,859 km",Honda Vezel RS Non Hybrid 2016,Vezel,23/07/2025 19:29,"Tk 2,480,000",2018,Company,Ramna,Automatic,RS Non Hybrid,https://bikroy.com/en/ad/honda-vezel-rs-non-hybrid-2016-for-sale-dhaka-21,181,2016
"Dhaka
882
views",MPV,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","58,521 km",Toyota Hiace GL 2020,Hiace,23/07/2025 19:29,"Tk 3,450,000",,Company,Baridhara,Automatic,GL,https://bikroy.com/en/ad/toyota-hiace-gl-2020-for-sale-dhaka-66,882,2020
"Dhaka
695
views",,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane",9 km,Toyota Corolla Cross Pearl Color 2025,Corolla Cross,23/07/2025 19:29,"Tk 5,700,000",,Company,Baridhara,Automatic,Pearl Color,https://bikroy.com/en/ad/toyota-corolla-cross-pearl-color-2025-for-sale-dhaka-2,695,2025
"Dhaka
59
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","78,541 km",Toyota Voxy hybrid x 2020,Voxy,23/07/2025 19:27,"Tk 2,800,000",,Company,Rampura,Automatic,hybrid x,https://bikroy.com/en/ad/toyota-voxy-hybrid-x-2020-for-sale-dhaka-54,59,2020
"Khulna
66
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","69,332 km",Toyota Corolla G-X SILVER HYBRID 2020,Corolla,23/07/2025 19:27,"Tk 2,600,000",,Company,Khulna Sadar,Automatic,G-X SILVER HYBRID,https://bikroy.com/en/ad/toyota-corolla-g-x-silver-hybrid-2020-for-sale-khulna,66,2020
"Dhaka
112
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane, Other fuel type","64,000 km",Toyota Succeed HYBRID 2020,Succeed,23/07/2025 19:27,"Tk 1,800,000",,Company,Rampura,Automatic,HYBRID,https://bikroy.com/en/ad/toyota-succeed-hybrid-2020-for-sale-dhaka,112,2020
"Chattogram
255
views",Saloon,Toyota,Used,"1,500 cc",Hybrid,"78,000 km",Toyota Axio hybrid 2018,Axio,23/07/2025 19:27,"Tk 2,200,000",2022,Company,Agrabad,Automatic,hybrid,https://bikroy.com/en/ad/toyota-axio-hybrid-2018-for-sale-chattogram,255,2018
"Dhaka
91
views",SUV / 4x4,Toyota,Reconditioned,"1,500 cc",Hybrid,"67,000 km",Toyota Yaris Cross hybrid 2020,Yaris Cross,23/07/2025 19:27,"Tk 3,350,000",,Company,Gulshan,Automatic,hybrid,https://bikroy.com/en/ad/toyota-yaris-cross-hybrid-2020-for-sale-dhaka-15,91,2020
"Dhaka
168
views",SUV / 4x4,Honda,Reconditioned,"2,000 cc","Hybrid, Octane","55,000 km",Honda CR-V EX 2021,CR-V,23/07/2025 19:27,"Tk 5,200,000",,Company,Gulshan,Automatic,EX,https://bikroy.com/en/ad/honda-cr-v-ex-2021-for-sale-dhaka-1,168,2021
"Khulna
13
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","23,230 km",Toyota Noah Hybrid (G-2 Dor Pwr) 2020,Noah,23/07/2025 19:27,"Tk 3,350,000",,Company,Khulna Sadar,Automatic,Hybrid (G-2 Dor Pwr),https://bikroy.com/en/ad/toyota-noah-hybrid-g-2-dor-pwr-2020-for-sale-khulna,13,2020
"Dhaka
369
views",SUV / 4x4,Honda,Reconditioned,"2,000 cc","Hybrid, Octane","40,000 km",Honda CR-V EX 2020,CR-V,23/07/2025 19:27,"Tk 4,700,000",,Company,Gulshan,Automatic,EX,https://bikroy.com/en/ad/honda-cr-v-ex-2020-for-sale-dhaka-6,369,2020
